name,position,icon
Parcheggio Stazione,"45.620651, 9.216960",parking.png
Parcheggio Viale Rimembranze,"45.620693, 9.205253",parking.png
"Parcheggio Don Giussani, Via Gavazzi","45.621237, 9.209033",parking.png
Parcheggio Borghetto,"45.615073, 9.202363",parking.png
Parcheggio Via Milano angolo Caravaggio,"45.604985, 9.203437",parking.png
Parcheggio Mercato Sud Prati,"45.614752, 9.211902",parking.png
Parcheggio Via Foscolo,"45.613566, 9.204628",parking.png
Parcometro Via  Dolci  4,"45.620103, 9.214355",parkingmeter.png
Parcometro Via  Bareggi 7,"45.620003, 9.220018",parkingmeter.png
Parcometro Via  Bixio 14,"45.619441, 9.220563",parkingmeter.png
Parcometro Via  Tittoni 15,"45.621443, 9.219235",parkingmeter.png
Parcometro Via  Bareggi 15,"45.619367, 9.220315",parkingmeter.png
Parcometro Via  Guarenti  13,"45.619408, 9.21455",parkingmeter.png
Parcometro Via  angolo Forlanini  12,"45.619142, 9.217347",parkingmeter.png
Parcometro Via  Forlanini 33,"45.618082, 9.218035",parkingmeter.png
Parcometro Via  Tittoni 3,"45.620705, 9.219562",parkingmeter.png
Parcometro Via  Bolivia 3,"45.621344, 9.220021",parkingmeter.png
Parcometro Via  Filippo da Desio 33,"45.622654, 9.219573",parkingmeter.png
Parcometro Via  Buozzi 5a ,"45.620357, 9.216049",parkingmeter.png
Parcometro Via  angolo Filippo da Desio  20,"45.622093, 9.219856",parkingmeter.png
Parcometro Via  Buozzi 11,"45.620338, 9.215014",parkingmeter.png
Parcometro Via  Sicilia ,"45.618634, 9.219394",parkingmeter.png
Parcometro Via  Sicilia 20,"45.619891, 9.219016",parkingmeter.png
Parcometro Via  Sicilia 14,"45.619391, 9.219247",parkingmeter.png
Parcometro Via  Brambilla  7,"45.619025, 9.216901",parkingmeter.png
Parcometro Via  Primule 2,"45.620489, 9.220133",parkingmeter.png
Parcometro Via  Stazione ,"45.619673, 9.216492",parkingmeter.png
Parcometro Via  Camnasio  5,"45.62042, 9.216803",parkingmeter.png
Parcometro Via  Stazione ,"45.620041, 9.21807",parkingmeter.png
Parcometro Via  Stazione ,"45.619598, 9.21671",parkingmeter.png
Parcometro Via  Stazione ,"45.620041, 9.21807",parkingmeter.png
Parcometro Via  Municipio  1,"45.620388  , 9.208536",parkingmeter.png
Parcometro Via  Municipio  2,"45.620389, 9.208536",parkingmeter.png
Parcometro Via  Rimenbranze  1e2,"45.619408 , 9.206455",parkingmeter.png
Parcometro Via  Corso Italia  ,"45.619898 , 9.208117",parkingmeter.png
Parcometro Via  Roggia Traversi 8," 45.618627, 9.208083",parkingmeter.png
Parcometro Via  Lombardia 3," 45.6201  , 9.210802",parkingmeter.png
Parcometro Via  S. Pietro 26,"45.619568  , 9.210093",parkingmeter.png
Parcometro Via  Largo 1 e 2 26,"45.616862 , 9.209415",parkingmeter.png
Parcometro Via  Olmetto 28,"45.61594 , 9.20775",parkingmeter.png
Parcometro Via  Grandi  30,"45.614893 , 9.208446",parkingmeter.png
Parcometro Via  Fratelli Cervi 1 14,"45.618316 , 9.205937",parkingmeter.png
Parcometro Via  Fr. Cervi 2 6,"45.618486 , 9.206961",parkingmeter.png
Parcometro Via  Mons. Cattaneo 23,"45.617508 , 9.205583",parkingmeter.png
Parcometro Via  Matteotti 1 15,"45.617172 , 9.205876",parkingmeter.png
Parcometro Via  Matteotti 2 28,"45.617353, 9.205834",parkingmeter.png
Parcometro Via  Matteotti 3 40,"45.616971 , 9.204994",parkingmeter.png
Parcometro Via  Cesare d' Adda  8,"45.616345 , 9.205495",parkingmeter.png
Parcometro Via  Tripoli 2 7,"45.616386 , 9.206099",parkingmeter.png
Parcometro Via  Foscolo 1 17,"45.613257  , 9.204686",parkingmeter.png
Parcometro Via  Foscolo 2 31,"45.613244  , 9.204061",parkingmeter.png
Parcometro Via  Italia 1 25,"45.617777 , 9.207372",parkingmeter.png
Parcometro Via  Italia 2 43,"45.618095 , 9.207399",parkingmeter.png
Parcometro Via  Conciliazione ,"45.61745  , 9.20879",parkingmeter.png
Parcometro Via  Conciliazione ,"45.617511, 9.209071",parkingmeter.png
Parcometro Via  Garibaldi 1 120,"45.613546, 9.20555",parkingmeter.png
Parcometro Via  Garibaldi 2 98,"45.613567  , 9.205556",parkingmeter.png
Parcometro Via  Garibaldi 3 82,"45.614988, 9.206248",parkingmeter.png
Parcometro Via  Garibaldi 4 6,"45.617011  , 9.206992",parkingmeter.png
